target_index,benchmark_subset,gt_d_H_nm,gt_d_L_nm,gt_N,gt_L_c_nm,target_peak_count,baseline_nominal_valid,baseline_robust_valid,baseline_yield_r60,baseline_mse,baseline_peak_shift_nm,baseline_missing_peaks,baseline_false_peaks,teacher_nominal_valid,teacher_robust_valid,teacher_yield_r60,teacher_mse,teacher_peak_shift_nm,teacher_missing_peaks,teacher_false_peaks,hybrid_final_source,hybrid_fallback_used,hybrid_d_H_nm,hybrid_d_L_nm,hybrid_N,hybrid_L_c_nm,hybrid_nominal_valid,hybrid_robust_valid,hybrid_yield_r60,hybrid_mse,hybrid_peak_shift_nm,hybrid_missing_peaks,hybrid_false_peaks,hybrid_robustness_mse_mean,hybrid_robustness_peak_shift_mean_nm,hybrid_robustness_missing_peak_mean,hybrid_robustness_false_peak_mean
86219,strategy_1_2_engineering_use_case,225.99227905273438,547.7064819335938,9,2241.032958984375,1,False,False,0.0,0.005799476441835522,4.00390625,0.0,2.0,False,False,0.0,0.005424935526213651,,1.0,2.0,fallback_residual_refine,True,196.85281372070312,627.8539428710938,9.0,1078.2562255859375,True,True,0.5,0.0010774406857418097,0.0,0.0,0.0,0.0030358794239246554,18.949959590517242,0.03333333333333333,0.06666666666666667
68054,strategy_1_2_engineering_use_case,258.8861999511719,794.160400390625,9,2744.724853515625,1,True,True,0.9,3.185252676781182e-05,6.006103515625,0.0,0.0,True,True,0.9666666666666667,3.210671249556783e-05,0.0,0.0,0.0,primary,False,248.20620727539062,815.731201171875,10.0,2359.736572265625,True,True,0.9666666666666667,3.210671249556783e-05,0.0,0.0,0.0,3.884375788722848e-05,7.273933919270833,0.0,0.0
30621,strategy_1_2_engineering_use_case,310.1089782714844,865.9893188476562,8,1730.6533203125,4,True,True,0.9166666666666666,0.00028153778553131306,3.5035400390625,0.0,0.0,True,True,0.95,0.00026669062530739233,3.5035400390625,0.0,0.0,primary,False,293.71875,910.1878662109375,8.0,1622.7322998046875,True,True,0.95,0.00026669062530739233,3.5035400390625,0.0,0.0,0.000835785940250094,9.534568277994792,0.0,0.0
8036,strategy_1_2_engineering_use_case,284.6133117675781,780.6185913085938,5,3556.57080078125,1,True,True,0.85,0.0009064585481708537,4.00390625,0.0,0.0,True,True,0.8666666666666667,0.0008881119585599002,4.00390625,0.0,0.0,primary,False,267.98968505859375,822.99755859375,4.0,4274.4384765625,True,True,0.8666666666666667,0.0008881119585599002,4.00390625,0.0,0.0,0.0010341055340600054,10.610599772135417,0.0,0.0
36767,strategy_1_2_engineering_use_case,299.9085998535156,975.5921630859375,6,3481.442138671875,5,True,True,0.6833333333333333,0.0021932052884283708,12.012060546875,0.0,0.0,True,False,0.45,0.001847078198829204,10.010107421875,0.0,0.0,primary,False,293.82073974609375,981.9521484375,6.0,3530.600341796875,True,False,0.45,0.001847078198829204,10.010107421875,0.0,0.0,0.0025317504969411945,11.217920735677081,0.5,0.05
229,strategy_1_2_engineering_use_case,334.333251953125,855.47998046875,5,3473.77294921875,5,True,True,0.75,0.0010774773388457623,9.209228515625,0.0,0.0,True,True,0.5333333333333333,0.0011983304187711643,10.81083984375,0.0,0.0,primary,False,335.3117980957031,849.1265258789062,5.0,3409.66650390625,True,True,0.5333333333333333,0.0011983304187711643,10.81083984375,0.0,0.0,0.0029264120202948237,13.900566813151043,0.36666666666666664,0.06666666666666667
41523,strategy_1_2_engineering_use_case,188.49343872070312,550.2017211914062,4,3283.830810546875,3,False,False,0.0,0.04541284619813614,10.009765625,2.0,0.0,False,False,0.0,0.03266747852682115,,3.0,2.0,fallback_residual_refine,True,195.28518676757812,534.5388793945312,4.0,3307.195068359375,True,False,0.31666666666666665,0.0020990906954424246,18.01806640625,0.0,0.0,0.004270740859391632,21.849616156684025,0.6166666666666667,0.18333333333333332
29927,strategy_1_2_engineering_use_case,301.68389892578125,888.1306762695312,8,3389.295654296875,5,True,True,0.6166666666666667,0.0009254031011514237,11.611669921875,0.0,0.0,True,True,0.6666666666666666,0.0009097431851905825,12.01201171875,0.0,0.0,primary,False,310.8138122558594,859.3567504882812,8.0,3286.58984375,True,True,0.6666666666666666,0.0009097431851905825,12.01201171875,0.0,0.0,0.0013238079983406514,14.59013407389323,0.21666666666666667,0.03333333333333333
29756,strategy_1_2_engineering_use_case,212.43348693847656,608.2666015625,6,3797.419921875,2,False,False,0.0,0.0011278519779359866,2.001953125,1.0,0.0,False,False,0.0,0.0013782870626037206,24.02392578125,1.0,0.0,fallback_residual_refine,True,218.9154052734375,602.7623291015625,7.0,1870.4781494140625,True,False,0.45,0.00045985870823148865,10.010009765625,0.0,0.0,0.0015330917852534208,19.486112467447917,0.2,0.06666666666666667
40033,strategy_1_2_engineering_use_case,297.3317565917969,830.0626220703125,8,3177.920654296875,4,False,False,0.0,0.0015340224691728897,28.0279541015625,0.0,1.0,False,False,0.0,0.0014616821254260237,26.52655029296875,0.0,1.0,fallback_residual_refine,True,295.6998291015625,828.4104614257812,8.0,3268.717529296875,True,False,0.3333333333333333,0.00024040064858998935,10.510498046875,0.0,0.0,0.0004109029087742981,12.328988308376738,0.6166666666666667,0.13333333333333333
